dataset_name,run_label,coverage_target,budget,n_paired_cells,mean_set_size_gap_llm_minus_reference,se_set_size_gap_llm_minus_reference,mean_coverage_gap_llm_minus_reference,mean_risk_gap_llm_minus_reference
ACS income,minimax_acs_schema_budgetgrid,0.8,60,10,0.1500819672131148,0.11838917621051949,0.02032786885245901,0.06717213114754098
ACS income,minimax_acs_schema_budgetgrid,0.8,120,9,0.3334733893557423,0.016907233300974735,0.0563025210084034,0.10802987861811388
ACS income,minimax_acs_schema_budgetgrid,0.8,240,10,0.43380530973451314,0.012916548246766479,0.07716814159292036,0.1383628318584071
ACS income,minimax_acs_schema_budgetgrid,0.8,480,9,0.44752475247524753,0.01853591514045683,0.06925192519251923,0.15451045104510455
ACS income,minimax_acs_schema_budgetgrid,0.8,960,10,0.4788311688311688,0.00754179151238494,0.07467532467532469,0.16623376623376623
ACS income,minimax_acs_schema_budgetgrid,0.9,60,10,0.36811475409836064,0.054339474825319756,0.06877049180327867,0.11307377049180327
ACS income,minimax_acs_schema_budgetgrid,0.9,120,9,0.25592903828197955,0.04415006170165467,0.019747899159663882,0.14696545284780574
ACS income,minimax_acs_schema_budgetgrid,0.9,240,10,0.27969026548672565,0.03893070291313233,0.018451327433628328,0.11942477876106192
ACS income,minimax_acs_schema_budgetgrid,0.9,480,10,0.25029702970297035,0.01979801940586135,0.004752475247524779,0.10653465346534652
ACS income,minimax_acs_schema_budgetgrid,0.9,960,10,0.3372727272727272,0.021963074514213646,0.01831168831168828,0.14064935064935066
ANES96 vote,minimax_anes_schema_budgetgrid,0.8,30,10,-0.14694564363020737,0.050693438304649265,-0.038309027147953326,-0.030622891347723558
ANES96 vote,minimax_anes_schema_budgetgrid,0.8,40,10,-0.03388504103549463,0.033816779339499545,-0.013691183699003517,-0.02933993178128307
ANES96 vote,minimax_anes_schema_budgetgrid,0.8,60,10,0.018328704363101144,0.024728629480550865,0.007059891753311476,-0.0044233964772349395
ANES96 vote,minimax_anes_schema_budgetgrid,0.8,80,9,0.032600151171579723,0.033318594826316036,0.014372294372294358,0.001606312558693499
ANES96 vote,minimax_anes_schema_budgetgrid,0.8,100,7,0.10788183335651688,0.027141621658292817,0.07160012982797792,0.011441670144201813
ANES96 vote,minimax_anes_schema_budgetgrid,0.8,120,6,0.07664783427495286,0.02539427742424817,0.039924670433145015,0.0006591337099811495
ANES96 vote,minimax_anes_schema_budgetgrid,0.8,140,9,0.06668915879442204,0.025433665295396594,0.054929524666366775,-0.01557954715849451
ANES96 vote,minimax_anes_schema_budgetgrid,0.9,40,10,-0.004212952619271004,0.042952847802447784,-0.01014917258739595,0.0016194497817894906
ANES96 vote,minimax_anes_schema_budgetgrid,0.9,60,10,-0.0628668755637849,0.09104157937209091,-0.01979371409580786,-0.007656554147082552
ANES96 vote,minimax_anes_schema_budgetgrid,0.9,80,10,0.052568954854669135,0.022934987819812836,0.012481756338899197,-0.001501752216037932
ANES96 vote,minimax_anes_schema_budgetgrid,0.9,100,8,0.08989319620253161,0.037947071193050824,0.016772151898734128,-0.001107594936708825
ANES96 vote,minimax_anes_schema_budgetgrid,0.9,120,6,0.025753295668549874,0.05265415567390183,-0.025811741022144324,0.02030326644587315
ANES96 vote,minimax_anes_schema_budgetgrid,0.9,140,9,0.10613660218923376,0.033342796404853395,0.034577897735792486,-0.0008059679112310783
Adult income,minimax_adult_schema_budgetgrid,0.8,30,10,0.0635124378109452,0.10010264120662818,0.058139303482587,-0.053800995024875606
Adult income,minimax_adult_schema_budgetgrid,0.8,40,8,-0.08027073732718887,0.06477912892089532,0.025576036866359425,-0.056624423963133635
Adult income,minimax_adult_schema_budgetgrid,0.8,60,10,0.14929487179487183,0.06359460063819036,0.108525641025641,-0.04942307692307688
Adult income,minimax_adult_schema_budgetgrid,0.8,80,10,0.008095238095238055,0.04446042796493185,0.05066666666666667,-0.05319047619047614
Adult income,minimax_adult_schema_budgetgrid,0.8,100,10,0.009062499999999973,0.06067911745517471,0.034687499999999996,-0.03062499999999998
Adult income,minimax_adult_schema_budgetgrid,0.8,120,10,0.05621212121212116,0.056852828942448495,0.03060606060606058,-0.0024242424242424147
Adult income,minimax_adult_schema_budgetgrid,0.9,40,9,0.0416538658474143,0.14392651889626082,0.04083461341525854,-0.047183819764464986
Adult income,minimax_adult_schema_budgetgrid,0.9,60,10,0.0647435897435896,0.0857805259597984,0.040576923076923135,-0.05756410256410258
Adult income,minimax_adult_schema_budgetgrid,0.9,80,9,-0.018306878306878296,0.05938407466615184,0.05761904761904763,-0.0708994708994709
Adult income,minimax_adult_schema_budgetgrid,0.9,100,10,-0.06937499999999996,0.04793659006089885,0.026874999999999993,-0.059374999999999976
Adult income,minimax_adult_schema_budgetgrid,0.9,120,10,0.0853030303030303,0.03088667735574268,0.050151515151515204,-0.016969696969696996
Fair affairs,minimax_fair_schema_budgetgrid,0.8,30,10,0.24666666666666676,0.06771764181028217,0.0566666666666667,-0.05133333333333333
Fair affairs,minimax_fair_schema_budgetgrid,0.8,40,10,0.3178571428571428,0.134532237409828,0.07142857142857142,-0.03785714285714285
Fair affairs,minimax_fair_schema_budgetgrid,0.8,60,10,0.35250000000000004,0.10648023348705049,0.07333333333333333,-0.027500000000000004
Fair affairs,minimax_fair_schema_budgetgrid,0.8,80,10,0.418,0.1002530132547978,0.073,0.0029999999999999805
Fair affairs,minimax_fair_schema_budgetgrid,0.8,100,9,0.354985754985755,0.11111012377200302,0.049465811965812,-0.006125356125356101
Fair affairs,minimax_fair_schema_budgetgrid,0.8,120,9,0.3314814814814815,0.12522955601997562,0.04814814814814816,-9.25185853854297e-18
Fair affairs,minimax_fair_schema_budgetgrid,0.8,140,10,0.19289473684210523,0.10525972216615213,0.003026315789473688,0.028026315789473687
Fair affairs,minimax_fair_schema_budgetgrid,0.9,40,10,0.34714285714285714,0.03895168237818108,0.07285714285714281,-0.06071428571428571
Fair affairs,minimax_fair_schema_budgetgrid,0.9,60,10,0.24250000000000002,0.02801151659100942,0.0391666666666667,-0.012499999999999987
Fair affairs,minimax_fair_schema_budgetgrid,0.9,80,10,0.45699999999999996,0.03809491071287899,0.088,-0.006346938775510203
Fair affairs,minimax_fair_schema_budgetgrid,0.9,100,10,0.40625,0.03737246832748525,0.085,-0.02249999999999997
Fair affairs,minimax_fair_schema_budgetgrid,0.9,120,9,0.48888888888888893,0.04444444444444443,0.08333333333333338,-0.0018518518518518762
Fair affairs,minimax_fair_schema_budgetgrid,0.9,140,10,0.44000000000000006,0.040688518719112346,0.07499999999999998,-0.017500000000000036
Fertility demography,minimax_fertility_schema_budgetgrid,0.8,30,9,0.5212475633528264,0.0634885195867927,0.07962962962962958,0.29853801169590644
Fertility demography,minimax_fertility_schema_budgetgrid,0.8,40,10,0.6181818181818179,0.05140808838969273,0.055454545454545444,0.3718181818181819
Fertility demography,minimax_fertility_schema_budgetgrid,0.8,60,10,0.5960317460317459,0.05590880387436377,0.021269841269841237,0.38261904761904764
Fertility demography,minimax_fertility_schema_budgetgrid,0.8,80,10,0.5399999999999998,0.024998866187441324,0.028571428571428536,0.34714285714285714
Fertility demography,minimax_fertility_schema_budgetgrid,0.8,100,10,0.526,0.04000555516980666,0.015999999999999993,0.354
Fertility demography,minimax_fertility_schema_budgetgrid,0.9,40,9,0.6544871794871796,0.06464372127120876,0.03434343434343434,0.41489898989899
Fertility demography,minimax_fertility_schema_budgetgrid,0.9,60,10,0.6322222222222224,0.058804971655107764,0.04333333333333326,0.37888888888888894
Fertility demography,minimax_fertility_schema_budgetgrid,0.9,80,9,0.5968253968253969,0.01746031746031747,0.06349206349206349,0.3476190476190476
Fertility demography,minimax_fertility_schema_budgetgrid,0.9,100,8,0.63,0.053452248382484864,0.03,0.39
Modechoice car,minimax_modechoice_schema_budgetgrid,0.8,30,10,0.42538461538461547,0.1056463155260084,0.0923076923076923,0.06230769230769232
Modechoice car,minimax_modechoice_schema_budgetgrid,0.8,40,8,0.32812499999999994,0.09962650364323039,0.06666666666666667,0.04166666666666669
Modechoice car,minimax_modechoice_schema_budgetgrid,0.8,60,9,0.3633333333333333,0.09958246164193102,0.06333333333333337,0.041111111111111154
Modechoice car,minimax_modechoice_schema_budgetgrid,0.8,80,10,0.5725,0.025331140255951113,0.1,0.06499999999999999
Modechoice car,minimax_modechoice_schema_budgetgrid,0.8,100,9,0.6333333333333333,0.04063538566202165,0.1037037037037036,0.10370370370370371
Modechoice car,minimax_modechoice_schema_budgetgrid,0.8,120,7,0.5392857142857144,0.1056241572038992,0.08214285714285716,0.08928571428571426
Modechoice car,minimax_modechoice_schema_budgetgrid,0.9,40,9,0.12500000000000006,0.08377199361111233,-0.0064814814814814214,0.03240740740740744
Modechoice car,minimax_modechoice_schema_budgetgrid,0.9,60,10,0.25000000000000006,0.05754225500544022,0.007999999999999985,0.030000000000000047
Modechoice car,minimax_modechoice_schema_budgetgrid,0.9,80,10,0.43249999999999994,0.05857687256929991,0.02125,0.05625000000000002
Modechoice car,minimax_modechoice_schema_budgetgrid,0.9,100,10,0.42666666666666664,0.05848920972556381,0.033333333333333326,0.046666666666666655
Modechoice car,minimax_modechoice_schema_budgetgrid,0.9,120,8,0.421875,0.07996057901509075,0.031249999999999986,0.08437499999999998
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.8,30,10,-0.01466666666666654,0.07909862573137784,0.03933333333333337,-0.09733333333333336
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.8,40,9,0.059523809523809534,0.0760135594778313,0.07222222222222222,-0.12698412698412698
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.8,60,10,-0.054166666666666675,0.031750619708154536,0.016666666666666663,-0.05833333333333333
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.8,80,9,0.04111111111111107,0.05834391438426987,0.031111111111111076,-0.042222222222222196
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.8,100,9,0.03333333333333336,0.052208183692256965,0.027777777777777804,-0.06527777777777777
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.8,120,8,0.09166666666666662,0.06842908506285675,0.04583333333333332,-0.033333333333333354
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.8,140,9,0.10277777777777779,0.060300814850256686,0.04166666666666666,-0.036111111111111115
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,40,10,0.026428571428571534,0.042499166325023346,0.03642857142857141,-0.12999999999999998
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,60,10,0.0191666666666666,0.051685331156819746,0.032500000000000015,-0.09
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,80,10,0.041999999999999926,0.03359232716625098,0.04099999999999996,-0.05599999999999998
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,100,10,-0.032500000000000015,0.028577380332470426,0.043750000000000025,-0.0875
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,120,8,2.7755575615628914e-17,0.03318419015420562,0.02916666666666662,-0.03749999999999996
RAND HIE visits,minimax_randhie_schema_budgetgrid,0.9,140,9,-0.03611111111111111,0.058349865382222234,0.011111111111111096,-0.03611111111111113
Star98 education,minimax_star98_schema_budgetgrid,0.8,30,8,0.45808823529411763,0.10610060081743676,0.016176470588235292,0.1308823529411765
Star98 education,minimax_star98_schema_budgetgrid,0.8,40,9,0.6222222222222222,0.06577455768206734,0.05902777777777779,0.14305555555555557
Star98 education,minimax_star98_schema_budgetgrid,0.8,60,8,0.6866071428571427,0.05579464214274284,0.07053571428571427,0.16428571428571426
Star98 education,minimax_star98_schema_budgetgrid,0.8,80,9,0.6703703703703704,0.02312035368367368,0.040740740740740716,0.20277777777777775
Star98 education,minimax_star98_schema_budgetgrid,0.8,100,7,0.6985714285714285,0.021539395957902174,0.06428571428571428,0.19142857142857148
Star98 education,minimax_star98_schema_budgetgrid,0.8,120,6,0.6645833333333334,0.0428680954919986,0.0375,0.21041666666666667
Star98 education,minimax_star98_schema_budgetgrid,0.8,140,8,0.6708333333333334,0.018567230905335966,0.05416666666666664,0.20208333333333336
Star98 education,minimax_star98_schema_budgetgrid,0.8,160,9,0.7388888888888889,0.04352344337775668,0.07777777777777774,0.19722222222222224
Star98 education,minimax_star98_schema_budgetgrid,0.9,40,8,0.46484375,0.0669293993947967,0.0234375,0.12968750000000004
Star98 education,minimax_star98_schema_budgetgrid,0.9,60,10,0.4871428571428574,0.07704726587711158,0.05857142857142861,0.14214285714285715
Star98 education,minimax_star98_schema_budgetgrid,0.9,80,8,0.4479166666666667,0.08731201461898237,0.021874999999999936,0.17812499999999998
Star98 education,minimax_star98_schema_budgetgrid,0.9,100,9,0.5588888888888888,0.03913809044213564,0.036666666666666674,0.1922222222222222
Star98 education,minimax_star98_schema_budgetgrid,0.9,120,9,0.5541666666666667,0.03958333333333333,0.01666666666666667,0.21250000000000002
Star98 education,minimax_star98_schema_budgetgrid,0.9,140,6,0.5833333333333334,0.07005289007176944,0.041666666666666685,0.225
Star98 education,minimax_star98_schema_budgetgrid,0.9,160,7,0.557142857142857,0.05528989771301487,0.025000000000000005,0.21428571428571436
