experiment_id,dataset_id,task_id,seed,budget,coverage_target,prompt_search_family,frontier_method,frontier_set_size,baseline_frontier_set_size,set_size_gap_vs_baseline,point_risk,baseline_point_risk,point_risk_gap_vs_baseline
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.8,component_grid,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.9428571428571428,0.9571428571428572,-0.014285714285714346,0.0714285714285714,0.0714285714285714,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.8,oprolite_minimax,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,0.9,0.9571428571428572,-0.05714285714285716,0.0714285714285714,0.0714285714285714,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.8,seed_selection,cached_llm_anes_calibrated_persona,0.9571428571428572,0.9571428571428572,0.0,0.0714285714285714,0.0714285714285714,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.9,component_grid,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.9428571428571428,1.0,-0.05714285714285716,0.0714285714285714,0.0714285714285714,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.9,oprolite_minimax,cached_llm_anes_calibrated_persona,1.0,1.0,0.0,0.0714285714285714,0.0714285714285714,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,40,0.9,seed_selection,cached_llm_anes_calibrated_persona,1.0,1.0,0.0,0.0714285714285714,0.0714285714285714,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.8,component_grid,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.93,0.96,-0.029999999999999916,0.07999999999999996,0.06999999999999995,0.010000000000000009
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.8,oprolite_minimax,cached_llm_anes_calibrated_persona,0.96,0.96,0.0,0.06999999999999995,0.06999999999999995,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.8,seed_selection,cached_llm_anes_calibrated_persona,0.96,0.96,0.0,0.06999999999999995,0.06999999999999995,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.9,component_grid,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.93,1.28,-0.35,0.07999999999999996,0.06999999999999995,0.010000000000000009
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.9,oprolite_minimax,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,1.08,1.28,-0.19999999999999996,0.06999999999999995,0.06999999999999995,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,1,80,0.9,seed_selection,cached_llm_anes_original_persona,1.28,1.28,0.0,0.06999999999999995,0.06999999999999995,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.8,component_grid,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.95,1.3142857142857143,-0.3642857142857143,0.06428571428571428,0.07857142857142863,-0.014285714285714346
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.8,oprolite_minimax,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,1.0,1.3142857142857143,-0.3142857142857143,0.06428571428571428,0.07857142857142863,-0.014285714285714346
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.8,seed_selection,cached_llm_anes_original_persona,1.3142857142857143,1.3142857142857143,0.0,0.07857142857142863,0.07857142857142863,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.9,component_grid,cached_llm_anes_original_persona,1.3142857142857143,1.3142857142857143,0.0,0.07857142857142863,0.07857142857142863,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.9,oprolite_minimax,cached_llm_anes_original_persona,1.3142857142857143,1.3142857142857143,0.0,0.07857142857142863,0.07857142857142863,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,40,0.9,seed_selection,cached_llm_anes_original_persona,1.3142857142857143,1.3142857142857143,0.0,0.07857142857142863,0.07857142857142863,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.8,component_grid,cached_llm_anes_calibrated_persona,0.93,0.93,0.0,0.07999999999999996,0.07999999999999996,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.8,oprolite_minimax,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,0.86,0.93,-0.07000000000000006,0.06999999999999995,0.07999999999999996,-0.010000000000000009
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.8,seed_selection,cached_llm_anes_calibrated_persona,0.93,0.93,0.0,0.07999999999999996,0.07999999999999996,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.9,component_grid,cached_llm_anes_calibrated_persona,1.0,1.0,0.0,0.07999999999999996,0.07999999999999996,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.9,oprolite_minimax,cached_llm_anes_calibrated_persona,1.0,1.0,0.0,0.07999999999999996,0.07999999999999996,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,2,80,0.9,seed_selection,cached_llm_anes_calibrated_persona,1.0,1.0,0.0,0.07999999999999996,0.07999999999999996,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,3,40,0.8,component_grid,cached_llm_anes_calibrated_persona,1.0,1.0,0.0,0.06428571428571428,0.06428571428571428,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,3,40,0.8,oprolite_minimax,cached_llm_anes_calibrated_persona,1.0,1.0,0.0,0.06428571428571428,0.06428571428571428,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,3,40,0.8,seed_selection,cached_llm_anes_calibrated_persona,1.0,1.0,0.0,0.06428571428571428,0.06428571428571428,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,3,40,0.9,component_grid,cached_llm_anes_original_persona,1.0571428571428572,1.0571428571428572,0.0,0.0714285714285714,0.0714285714285714,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,3,40,0.9,oprolite_minimax,cached_llm_anes_original_persona,1.0571428571428572,1.0571428571428572,0.0,0.0714285714285714,0.0714285714285714,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,3,40,0.9,seed_selection,cached_llm_anes_original_persona,1.0571428571428572,1.0571428571428572,0.0,0.0714285714285714,0.0714285714285714,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,3,80,0.8,component_grid,cached_llm_anes_original_persona,0.92,0.92,0.0,0.06000000000000005,0.06000000000000005,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,3,80,0.8,oprolite_minimax,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,0.89,0.92,-0.030000000000000027,0.06000000000000005,0.06000000000000005,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,3,80,0.8,seed_selection,cached_llm_anes_original_persona,0.92,0.92,0.0,0.06000000000000005,0.06000000000000005,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,3,80,0.9,component_grid,cached_llm_promptopt_anes_component_grid_rank2_grid_calibrated_classifier_conflict_check_sharp_clear_json_only,0.95,1.39,-0.43999999999999995,0.050000000000000044,0.06000000000000005,-0.010000000000000009
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,3,80,0.9,oprolite_minimax,cached_llm_promptopt_anes_oprolite_minimax_rank2_gen1_demographics_weighted,1.0,1.39,-0.3899999999999999,0.06000000000000005,0.06000000000000005,0.0
E20,real_anes96_vote,anes96_vote_clinton_vs_dole,3,80,0.9,seed_selection,cached_llm_anes_original_persona,1.39,1.39,0.0,0.06000000000000005,0.06000000000000005,0.0
